candidate_id,cite_key,entry_type,key_author,authors,author_kinds,title,year,venue_field,venue,doi,url
C0091,AIRacingTech2020AIRacing,misc,AIRacingTech,AI Racing Tech,corporate,AI Racing Tech,2020,howpublished,Official team website,,https://www.airacingtech.com/about-us
C0095,ALSunni2025LLAMPC,misc,AL-Sunni,Maitham F. AL-Sunni; Hassan Almubarak; Katherine Horng; John M. Dolan,personal;personal;personal;personal,LLA-MPC: Fast Adaptive Control for Autonomous Racing,2025,howpublished,arXiv,10.48550/arxiv.2505.19512,https://arxiv.org/abs/2505.19512
C0128,Althoff2017CommonRoadComposable,inproceedings,Althoff,Matthias Althoff; Markus Koschi; Stefanie Manzinger,personal;personal;personal,CommonRoad: Composable Benchmarks for Motion Planning on Roads,2017,booktitle,2017 IEEE Intelligent Vehicles Symposium (IV),10.1109/ivs.2017.7995802,
C0012,Alyaseri2024ComparativeAnalysis,article,Alyaseri,Sana Alyaseri; Andy Conner,personal;personal,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,2024,journal,International Journal of Applied Metaheuristic Computing,10.4018/ijamc.350330,
C0081,Amini2022VISTA2,inproceedings,Amini,Alexander Amini; Tsun-Hsuan Wang; Igor Gilitschenski; Wilko Schwarting; Zhijian Liu; Song Han; Sertac Karaman; Daniela Rus,personal;personal;personal;personal;personal;personal;personal;personal,"VISTA 2.0: An Open, Data-driven Simulator for Multimodal Sensing and Policy Learning for Autonomous Vehicles",2022,booktitle,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812276,
C0110,Arcaini2024CRAGCombinatorial,article,Arcaini,Paolo Arcaini; Ahmet Cetinkaya,personal;personal,CRAG – a combinatorial testing-based generator of road geometries for ADS testing,2024,journal,Science of Computer Programming,10.1016/j.scico.2024.103171,
C0102,Arnold2013TestingAutonomous,inproceedings,Arnold,James Arnold; Rob Alexander,personal;personal,Testing Autonomous Robot Control Software Using Procedural Content Generation,2013,booktitle,"Computer Safety, Reliability, and Security",10.1007/978-3-642-40793-2_4,
C0170,ASAM2024ASAMOpenDRIVE,misc,ASAM,ASAM e.V.,corporate,"ASAM OpenDRIVE BS 1.8.1 Specification, 2024-11-21",2024,howpublished,ASAM standard,,https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.8.1/specification/index.html
C0172,ASAM2024ASAMOpenSCENARIO,misc,ASAM,ASAM e.V.,corporate,"ASAM OpenSCENARIO® XML BS 1.3.0 Specification, 2024-03-07",2024,howpublished,ASAM standard,,https://publications.pages.asam.net/standards/ASAM_OpenSCENARIO/ASAM_OpenSCENARIO_XML/v1.3.0/index.html
C0169,ASAM2026ASAMOpenCRG,misc,ASAM,ASAM e.V.,corporate,ASAM OpenCRG 2.0.1,2026,howpublished,ASAM standard,,https://www.asam.net/standards/detail/opencrg/
C0007,ASAM2026ASAMOpenDRIVEa,misc,ASAM,ASAM e.V.,corporate,ASAM OpenDRIVE,2026,howpublished,ASAM,,https://www.asam.net/standards/detail/opendrive/
C0171,ASAM2026ASAMOpenDRIVEb,misc,ASAM,ASAM e.V.,corporate,ASAM OpenDRIVE BS 1.9.0 Specification,2026,howpublished,ASAM,,https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.9.0/specification/index.html
C0113,Ashlock2006EvolvingDiverse,inproceedings,Ashlock,D. A. Ashlock; T. W. Manikas; K. Ashenayi,personal;personal;personal,Evolving A Diverse Collection of Robot Path Planning Problems,2006,booktitle,2006 IEEE International Conference on Evolutionary Computation,10.1109/cec.2006.1688530,
C0134,Ayerdi2023RoadSignSBFT,inproceedings,Ayerdi,Jon Ayerdi; Aitor Arrieta; Miren Illarramendi,personal;personal;personal,RoadSign at the SBFT 2023 Tool Competition Cyber-Physical Systems Track,2023,booktitle,2023 IEEE/ACM International Workshop on Search-Based and Fuzz Testing (SBFT),10.1109/sbft59156.2023.00006,
C0018,Azad2023CLUTRCurriculum,inproceedings,Azad,Abdus Salam Azad; Izzeddin Gur; Jasper Emhoff; Nathaniel Alexis; Aleksandra Faust; Pieter Abbeel; Ion Stoica,personal;personal;personal;personal;personal;personal;personal,CLUTR: Curriculum Learning via Unsupervised Task Representation Learning,2023,booktitle,Proceedings of the 40th International Conference on Machine Learning,,https://proceedings.mlr.press/v202/azad23a.html
