cite_key,first_domain,rank_sha256,evidence_sha256
DRAFT_C0006,ground,1ef678de1cfba102c2948adeb934ae6f81f4d31885be425f08d80d2b79de31f7,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0008,ground,2c4126705b5a4888acfa9bd88c2cf1782e1a0f3f9d107f4bd92ee08a4c091615,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0009,ground,085fd4fd030254e96841c6514cc21390e8ec773d326df2c02af91672b4bff67d,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0011,ground,0b51ada99502599d696237f6c6d2304f33557e1d327963f74fa74fda6815684e,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0020,adjacent,3d64cfabe9ca543fbcbdb4d4550331defe8cac50a19719605676d5a455cf8faf,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0054,adjacent,34f0555b406fb18a123a7780b7dfa5c7f9f0995058e7b27bb3641b203641fce0,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0063,NR,cce05407a1448f442eb989150a53d792c56cf9234e1c19bc349a652e9d1533a7,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0119,ground,0f0397a5ded43962d28c0278209968e28c2faa4781098e30abfcd0f9e2df88fd,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0121,aerial,4844a07f1b529ca48feb928522dd89913f45e584841787298f24138deb214b35,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0128,ground,12611b2eb2857a8e0314f9e47d7e50b8e01526e02c5813f4cc24a1631a4d0ac9,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0131,aerial,291b21d8b03c470d54688f8e3d158218f270113f30c9b40f63f082428f9848bf,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0136,ground,1e6c493244284e7546a7aba55645882133acd7c2a3d275dfd502a851af74402c,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0150,maritime,28756e67d117f1ae0dd13da49de832804efacc55612f0c4895a3d041685ca1db,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0164,ground,2236454c5cd5ae33257178eaf17e5f99fd7113f6f7cfaa313d0b5ac1b127856f,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0168,maritime,1bab2da569d95fb380a55b872c93b233923eb3d8956b86612c28e1f2d061a148,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0182,ground,057435af96aa536ab006028d38eeb103c302748f8cf87cb72443dc9446b07deb,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0191,adjacent,0ed068552e18cbaa256c9a7373a7436f33f13cb31c1938cccf0af57fa5fa8be1,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
DRAFT_C0205,ground,0c783a5c63b11d5d3551ab4c8bb74b7df8e86a24b9fdc84be8cf24603ddaa469,85f05730d2b522473ab65edaeb8c7df8b36db3d5a0f690f904ff3e7ce56ceb55
