cite_key,first_domain,rank_sha256,evidence_sha256
DRAFT_C0010,ground,846554db991aea6a52a600975c212bb4562f00fbf7d8d16fe2d94bd1a15c7b19,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0015,ground,f8ac3aa4412fcda735693b331c39ff62032db97a79b5fe9f5b88fdbb5f256996,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0025,aerial,b65d9f1e193a8a50e12f5ea5d8ed3e2fdc5a07a66ef0864baedebc4cb19a6f22,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0047,ground,608f682723dbfd311bb5a7203af79ee340de7dec20e5540128be0704d3eb82bb,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0050,ground,9b1b360cc7e2cefd2c642f07e11d2c7c67dc2b85d5091a19c3706d03da388206,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0052,adjacent,5802f60a5a9defe80dc5eb67b5ce6b9de95001699f2dfd98c1cf9314150102ef,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0063,NR,cce05407a1448f442eb989150a53d792c56cf9234e1c19bc349a652e9d1533a7,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0071,adjacent,e7c13b86dee7de4991bdffc15397b514c594e8bf9bc1de3a31241b72269f6a7a,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0110,ground,6f39229f27f3408d914074c572ff47f7bc87033d1f19345dada4481b13e02b3a,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0126,ground,320969bc94954c23c3e3ff87fda55b4b548a8546d70868da4d8fdfceacb1a0c4,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0132,maritime,821894efec042d3b485b4cbc889e43aec8d2ad6efb9294f0db8ae712db7997fc,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0162,ground,498c515b94f14cb55725870625706257b405f61336966ae85a6eb99f97a0e064,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0165,aerial,971ab67c2156b1a019f062a9d0e796c3f92eab11cd7919a7d15ba93a2da3284d,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0177,adjacent,a68978dd8929bbdd235d090ac35e363fb44a623ee8f874261e62c12acacb0405,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0180,ground,efafc67c1f5f9e4cf63ca37d1ab26a7c5115c82473c797d6a0dcc85b17bb4ac0,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0195,ground,5a1b3603cdf3da0d78b30747c81b9fe8bdfe86986a20e64252faeb2a1c559e3e,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0202,ground,d96cd27deab694c1b75b43571788f7f1e47a92c61e63636470c0abd6e480b6a4,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
DRAFT_C0211,maritime,fd032253f33d4bb9c330bc3420501a3f56c2b90f4fa94d6ca874e99f9caf3ee9,933795bf986bc3d7034628c9fffd3103fc6b77dd40f0734696d5968cd9722196
